Category,Super-Heavyweight,Heavyweight,Light-Heavyweight,Middleweight,Light-Middleweight,Welterweight,Light-Welterweight,Lightweight,Featherweight,Bantamweight,Flyweight,Light-Flyweight,min
1972,,+,81,75,71,67,63.5,60,57,54,51,48,
1976,,+,81,75,71,67,63.5,60,57,54,51,48,
1980,,+,81,75,71,67,63.5,60,57,54,51,48,
1984,+,91,81,75,71,67,63.5,60,57,54,51,48,
1988,+,91,81,75,71,67,63.5,60,57,54,51,48,
1992,+,91,81,75,71,67,63.5,60,57,54,51,48,
1996,+,91,81,75,71,67,63.5,60,57,54,51,48,
2000,+,91,81,75,71,67,63.5,60,57,54,51,48,
2004,+,91,81,75,,69,64,60,57,54,51,48,
2008,+,91,81,75,,69,64,60,57,54,51,48,
2012,+,91,81,75,,69,64,60,,56,52,49,46
2016,+,91,81,75,,69,64,60,,56,52,49,46
2020,+,91,81,75,,69,,63,57,,52,,48
